Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
GMRAIRPORT,"GMR AIRPORTS",3463169,13528,EQ,NSE,NSE,True
NECCLTD-BE,"NORTH EAST CARRY CORP",3464449,13533,EQ,NSE,NSE,True
VIDHIING,"VIDHI SPCLTY F INGRDNTS L",3465217,13536,EQ,NSE,NSE,True
TECHM,"TECH MAHINDRA",3465729,13538,EQ,NSE,NSE,True
AVONMORE,"AVONMORE CAP&MGT SERV",3470593,13557,EQ,NSE,NSE,True
GRINDWELL,"GRINDWELL NORTON",3471361,13560,EQ,NSE,NSE,True
RAMANEWS,"SHREE RAMA NEWSPRINT",3472641,13565,EQ,NSE,NSE,True
MANUGRAPH-BE,"MANUGRAPH INDIA",3475201,13575,EQ,NSE,NSE,True
VOLTAMP,"VOLTAMP TRANSFORMERS",3475713,13577,EQ,NSE,NSE,True
RADIANTCMS,"RADIANT CASH MGMT SER",3476481,13580,EQ,NSE,NSE,True
ATLANTAA,"ATLANTAA",3477761,13585,EQ,NSE,NSE,True
ACE,"ACTION CONST EQUIP",3478273,13587,EQ,NSE,NSE,True
HGM,"HANDSON GBL MNGMNT",3479553,13592,EQ,NSE,NSE,True
ANTELOPUS,"ANTELOPUS SELAN ENRGY",3481089,13598,EQ,NSE,NSE,True
IRCTC,"INDIAN RAIL TOUR CORP",3484417,13611,EQ,NSE,NSE,True
ANANTRAJ,"ANANT RAJ",3486721,13620,EQ,NSE,NSE,True
BILVYAPAR-BE,"BIL VYAPAR",3487233,13622,EQ,NSE,NSE,True
SKYGOLD,"SKY GOLD AND DIAMONDS",3489537,13631,EQ,NSE,NSE,True
JMFINANCIL,"JM FINANCIAL",3491073,13637,EQ,NSE,NSE,True
ELECON,"ELECON ENG. CO.",3492609,13643,EQ,NSE,NSE,True
BANKADD,"DSP NIFTY BANK ETF",3492865,13644,EQ,NSE,NSE,True
TALBROAUTO,"TALBROS AUTO. COMP.",3493889,13648,EQ,NSE,NSE,True
DSPBNKINAV,"DSPAMC - DSPBNKINAV",3495681,13655,EQ,NSE,NSE,True
ALICON,"ALICON CASTALLOY",3495937,13656,EQ,NSE,NSE,True
GEECEE-BE,"GEECEE VENTURES",3497473,13662,EQ,NSE,NSE,True
MADHUCON-BE,"MADHUCON PROJECTS",3499009,13668,EQ,NSE,NSE,True
NRL-BE,"NUPUR RECYCLERS",3502081,13680,EQ,NSE,NSE,True
AERONEU,"AEROFLEX NEU",3504385,13689,EQ,NSE,NSE,True
INFOMEDIA,"INFOMEDIA PRESS",3505409,13693,EQ,NSE,NSE,True
VISHWARAJ,"VISHWARAJ SUGAR IND",3507713,13702,EQ,NSE,NSE,True
FIEMIND,"FIEM INDUSTRIES",3509761,13710,EQ,NSE,NSE,True
JHS,"JHS SVEND. LAB.",3512321,13720,EQ,NSE,NSE,True
DCBBANK,"DCB BANK",3513601,13725,EQ,NSE,NSE,True
